id;CustomerName;CustomerAddress;State
208;janice Mann Accounting Service;368 Woodland Rd.;Pennsylvania
209;Mac Computer Warehouse;618 Sheriden rd.;Idaho
210;Marks, Marks, and Kaplan Ltd.;77 Blackhawk Rd;Texas
211;Portugal, Liddy, & Son Ltd.;839 Burton Ave;North Dakota
212;Gourmet the Frog;302-A Crestwood Village Rd.;New Hampshire
213;Green Shoes Corp.;2479 Woodridge Drive;Maine
214;Glenwood Credit Union;2936 Arlington Ave.;Virginia
215;Schnitzer Denist College;220 Vine Ave.;New Jersey
216;Green Shoes Corp.;1795 Lake Cook Rd.;Illinois
217;Moveit Motercycle Service;2045 St. johns Ave.;Kentucky
218;Eva Galler Galleries Inc.;673 Calais Drive;Pennsylvania
219;Highland Heights Gift Shop;550 Sheridan;Wisconsin
220;George Lee Antiques;1155 Ridgewood Drive;Michigan
221;Smith Communications Inc.;1535 Knollwood Drive;South Dakota
222;Office Pro Supply Co.;872 Virginia Rd.;West Virginia
223;Eva Galler Galleries Inc.;2505 Allison ct.;Arizona
225;Dependable Plumbing and Sewer;1920 Sunnyside Ave.;Ohio
226;Mail Boxes Et. Al.;965 Marion Place Apt. 65C;North Carolina
227;Mergenthaler Inc.;1575 Oak Ave.  Apt. 2C;New Hampshire
228;Park District Of America;1715 Chicago Ave.;Delaware
229;New Dehli Auto Exchange;456 Groverland Ave.;Colorado
230;Masterlands Cleaning;21 Lakeview Terrace #2312;Tennessee
231;Woodworks Co.;2220 Grant Blvd.;Iowa
232;Palmer Golf Supplies;2510 Crain;Oregon
233;Lickmen Restoration;4522 N. Greenview Apt. 1B;Idaho
234;Deer Lake Inn;1701 W. Mellody Rd.;South Carolina
235;Smith Communications Inc.;3062 Lindenwood Ln.;Colorado
236;Park District Of America;1859 Green Bay Rd.;Oklahoma
237;New Dehli Auto Exchange;1535 Knollwood Drive;Louisiana
239;John G. Hartling Ltd.;600 Central Ave.;Iowa
240;Dean Grant Buick and Crysler;1482 Concorde Circle;Utah
241;American Deli Workers Union;965 Marion Place Apt. 65C;Louisiana
242;Loyal Order of Buffalo;1019 Deerfield Rd.;New Hampshire
243;Car Suite Cleaners;1235 Easton Rd.;West Virginia
245;Kapp Camera and Video;511 Hill;Kansas
246;Lee Stairworks and Carpentry,;42 Valley Rd.;Iowa
247;Lake Shore Publishing;115 Judson Rd.;Rhode Island
248;Marcy Elaine Bakery;367Bluebird Terr.;Vermont
249;Hart Corporation;77 Blackhawk Rd;Ohio
250;North West Gas Co.;1 Twin Oaks Place;Pennsylvania
251;DBN Bank;550 Sheridan;Michigan
252;Arthur M. Feildberg Galleries;3901 Chester Ave. Apt. 3C;Louisiana
253;Block Boats and Lures;115 Judson Rd.;Connecticut
254;Smith Communications Inc.;1920 Sunnyside Ave.;Kentucky
255;Acturial Enterprises Ltd.;669 Kikaid;Louisiana
256;Mac Computer Warehouse;2024 St.Johns Ave.;Connecticut
257;Futoons Cartoons Emporium;456 Grossman Ln.;Vermont
258;Acme Chemical Supply;632 Roger Williams;Maine
259;Cosmo Skin Care Center;115 Pleasent Ave.;Wisconsin
260;Woodworks Co.;1220 Heather Lane;Virginia
261;Block Boats and Lures;12 Fort Sheriden Ave.;Arizona
262;Funnyface Amusement Games;225 Jeffrys Place;Maine
263;Kapp Camera and Video;310 Walker Ave.;Maine
264;Trapezoid Studios;965 Marion Place Apt. 65C;Michigan
265;Portugal, Liddy, & Son Ltd.;433 Burton Ave.;Maine
266;Hibbard Road Suppliers;632 Florence Dr.;West Virginia
267;Air France;632 Florence Dr.;West Virginia
268;Air Guatamala;430 Oakland Drive;Michigan
269;Acme Chemical Supply;970 Vilas Circle;Alabama
270;Lutz Soft Cloth Car Wash;937 Judson Ave.;Massachusetts
271;Parties Galore Golf Course;1287 Glencoe Ave.;Virginia
272;Hilco Auto Body;231 Sheriden Rd.;Michigan
273;Esmarda Chemical Manufacturers;574 Chicago Ave.;South Carolina
274;BBQ Smith's Tex Mex;2112 Ravine Drive;Kansas
275;janice Mann Accounting Service;2224 Sherman Rd.;Tennessee
276;Bako Delicatessen;2678 Sheridan Rd.;Maryland
277;Meonits & Mogogni Inc.;3901 Chester Ave. Apt. 3C;Kentucky
278;Glenwood Credit Union;865 Old Tall Tree Lane;New York
279;Deer Lake Inn;425 Lake Ave.;New York
280;Elle Hypnosis and Therapy Cent;872 Virginia Rd.;Mississippi
281;Hi-Land Art & Frame;218 Oakridge Ave.;South Dakota
282;New Dehli Auto Exchange;241 Callan Rd.;Oregon
283;American Deli Workers Union;1858 Balsam Way;Virginia
284;Doerner's Awnings and Canopies;671 Blackstone Ave.;New York
285;Maintence Services of Maine;2479 Woodridge Drive;Massachusetts
286;Park District Of America;1245 Eastwood;North Carolina
287;Brand Y Creative Services;1704 Ridgelee Rd;Kansas
288;Chicagoland Cleaners;3478 Bryn Mawr St.;Kansas
289;Quad City Cleaning;42 Valley Rd.;Tennessee
290;Caranisco Homes;1915 Lewis Ln.  Apt 13;Washington
291;Pasifico Inc.;629 Kincaid Ave.;Georgia
292;Lutz Soft Cloth Car Wash;242 Ashland Ave.;Rhode Island
293;Johnson, Erico & Co CPA's;865 Old Tall Tree Lane;Pennsylvania
294;Hardee Woodwork Ltd.;1619 Judson Ave. Apt #34B;Montana
295;Green Shoes Corp.;4522 N. Greenview Apt. 1B;Arizona
296;Cotton Thumb Ltd.;770 Exmoor Rd.;South Carolina
297;Highland Heights Gift Shop;628 Orwenstensia;North Carolina
298;Air Mexico;465 Stratford Rd.;Delaware
299;Smith Communications Inc.;4763 Blackhawk Rd.;North Carolina
300;Auto Interior Carpeting Compan;1234 Devonshire Court;Alaska
301;Camp Oconomowoc;1101 Deerfield Place;Colorado
302;Corbins, Rodriguez, & Savocchi;135 Lakewood place;Mississippi
303;Nina's Snow Plowing;669 Kikaid;South Carolina
304;Air Guatamala;310 Walker Ave.;Alabama
305;Glenn Oaks Office Supplies;1633 McGovern place;Kentucky
306;Morton Roofing and Siding;1233 Arbor Rd.;New Jersey
307;Michael Montgomery Hair Saloon;1444 Chantilly Ln.;Texas
308;Lennox Air Pollution Control;750 Homewood Ave.;Nebraska
309;Mail Boxes Et. Al.;266 Green Bay Rd.;Texas
310;Caranisco Homes;1912 Old Briar Lane #2;New Hampshire
311;Air Mexico;1486 Old Deerfield Rd.;South Dakota
313;AA Advertising;245 Oakridge Ave.;Connecticut
314;Nirabi Auto Service;1245 Eastwood;California
315;Pac Builders;1065 Hillcrest Circle;Oklahoma
316;Terrinni & Son Auto and Truck;969 Saxony Drive;Virginia
317;North Shore Appliance Service;43078 Kennedy Dr.;Vermont
318;Parties Galore Golf Course;1701 W. Mellody Rd.;Washington
319;Air Mexico;2678 Sheridan Rd.;Alaska
320;Sigman and Freud Psychiatry;120 high St.;Rhode Island
321;BBQ Smith's Tex Mex;456 Groverland Ave.;Alabama
322;Doerner's Awnings and Canopies;433 Burton Ave.;Alabama
323;Derbin Contracting Services;1482 Concorde Circle;Iowa
324;Keep Cool Air Conditioner Repa;965 Marion Place Apt. 65C;Arkansas
325;Pete's Auto Repair;1270 Linden Ave.;Rhode Island
326;Marks, Marks, and Kaplan Ltd.;511 Maple Ave.  Apt. 1B;New Mexico
327;Corbins, Rodriguez, & Savocchi;241 Callan Rd.;New Jersey
328;Pasifico Inc.;632 Roger Williams;South Carolina
329;Palmer Golf Supplies;120 high St.;Idaho
330;Kapp Camera and Video;10 Marquette Rd.;Massachusetts
331;Caranisco Homes;969 Saxony Drive;Connecticut
332;DBN Bank;1220 Heather Lane;Pennsylvania
333;Cutter Lawn Mower Repair;662 Lyons Circle;California
334;Lennox Air Pollution Control;929 Brittany Ave.;Georgia
335;Crosstracks Car Wash;45 South Deer Creek Drive;Wyoming
336;Schnitzer Denist College;3150 Skokie Valley Rd.;Mississippi
337;Crossroads Construction, Inc.;600 Central Ave.;Alaska
338;Got It All Electronics Supply;3148 cottonwood Ct.;South Carolina
339;Lennox Air Pollution Control;872 Virginia Rd.;Mississippi
340;Lennox Air Pollution Control;1839 McCraren Rd.;Vermont
341;Cutter Lawn Mower Repair;1714 Clifton Rd.;New York
342;Libra & Sons;245 Oakridge Ave.;Connecticut
343;Mail Boxes Et. Al.;3344 Beachwood Ln.;North Carolina
344;North Shore Appliance Service;1444 Chantilly Ln.;Massachusetts
345;Lee Stairworks and Carpentry,;511 Maple Ave.  Apt. 1B;Ohio
347;Nitelites Party Rental;425 Lake Ave.;Alabama
348;Dapper's Antiques;175 beech St.;Maine
349;Nina's Snow Plowing;12 Fort Sheriden Ave.;Wisconsin
350;Truck-X Muffler Repair;3487 Green Bay Rd.;Florida
351;Kosmo Consulting;77 Blackhawk Rd;Montana
352;Johnson, Erico & Co CPA's;3385 University Ave.;Ohio
353;George Lee Antiques;1679 McCraren;Maryland
354;Kosmo Consulting;38976 Forest View Rd.;Iowa
355;Ernie's Foriegn Car Service;12 Fort Sheriden Ave.;Alaska
356;Keep Cool Air Conditioner Repa;1633 McGovern place;Ohio
357;Ampro Office Team Ltd.;3059 Priscilla Court;Florida
358;Myles Building Consultants;1831 Beverly Place #9D;Missouri
359;Peterson Roberts Carpentry;2510 Crain;Georgia
360;Highland Heights Gift Shop;1660 Park Ave.;Georgia
361;John G. Hartling Ltd.;1126 Hillcrest Ave;Maine
362;Doll House Rock;1920 Sunnyside Ave.;North Carolina
363;Smith Communications Inc.;1875 Roger Williams Ave.;Nevada
364;Corbins, Rodriguez, & Savocchi;1915 Lewis Ln.  Apt 13;Missouri
365;Griffith Paving and Sealcoatin;224  Highwood Ave.;Nebraska
366;Moveit Motercycle Service;750 Homewood Ave.;Washington
367;Lutz Soft Cloth Car Wash;4259 W. Lake Ave.;Kentucky
368;North Shore Appliance Service;225 Jeffrys Place;Rhode Island
369;Vecot Inc.;1444 Chantilly Ln.;Nebraska
370;Pete's Auto Repair;245 Oakridge Ave.;Oregon
371;Lake Shore Publishing;1799 Rosemary Way;Montana
372;Dean Grant Buick and Crysler;511 Maple Ave.  Apt. 1B;Arizona
373;K L Consulting;2112 Ravine Drive;Nebraska
374;Palmer Golf Supplies;1126 Hillcrest Ave;Wyoming
375;Terrinni & Son Auto and Truck;1575 Oakwood Ave.;Virginia
376;Venturi Discount Drugs;669 Kikaid;Virginia
377;Lee Stairworks and Carpentry,;812 North Ave.;Louisiana
378;Cutter Lawn Mower Repair;433 Burton Ave.;Washington
379;Cradle the Call;1547 Vine;Michigan
380;Lee Stairworks and Carpentry,;4259 W. Lake Ave.;North Carolina
381;Loyal Order of Buffalo;1777 balsamic Ave.;Oklahoma
382;Funnyface Amusement Games;2032 Northbrook Ct.;California
383;Nina's Snow Plowing;1795 Lake Cook Rd.;Wisconsin
384;Nina's Snow Plowing;1770 first St.;Nebraska
385;Griffith Paving and Sealcoatin;1882 St. Johns;Massachusetts
386;Froggy's Gourmet Catering;1915 Lewis Ln.  Apt 13;Oklahoma
387;Dependable Plumbing and Sewer;59 Cordon Terr.;Utah
388;Foy Aviation;673 Calais Drive;South Dakota
389;Schnitzer Denist College;22 Clay rd.;Maryland
390;Pasifico Inc.;10 Marquette Rd.;California
391;Masterlands Cleaning;632 Roger Williams;Virginia
392;Hibbard Road Suppliers;2267 Anderson Lane;Rhode Island
393;AA Advertising;899 Harvard Ct;Pennsylvania
394;Kapp Camera and Video;45 South Deer Creek Drive;Utah
395;Morgan Construction Co;788 Tennyson Ave.;South Carolina
396;Myers Chocolates and Confectio;1777 balsamic Ave.;Montana
397;MedicServe Medical Supply;3100 Trailer Way;New Hampshire
398;BBQ Smith's Tex Mex;1975 elmwood Circle;Illinois
399;Highland Woods City Hall;3478 Bryn Mawr St.;Louisiana
400;P K M Packaging Supply;218 Oakridge Ave.;Texas
401;Morgan Construction Co;629 Kincaid Ave.;Connecticut
402;PGS Associates;35 Glenlake Dr.;Nevada
403;Nitelites Party Rental;313 Grove Ave.;Utah
404;Caranisco Homes;643 De Temple Rd.;Georgia
405;Pete's Auto Repair;241 Callan Rd.;Rhode Island
406;Meonits & Mogogni Inc.;574 Chicago Ave.;West Virginia
407;Highland Lanes;600 Central Ave.;New Mexico
408;Peterson Roberts Carpentry;1875 Roger Williams Ave.;Oklahoma
409;Masterlands Cleaning;1954 First St.;Missouri
410;Derbin Contracting Services;218 Oakridge Ave.;North Dakota
411;North Park Lighting Galleries;120 high St.;Illinois
412;Transformation Enterprises;2505 Allison ct.;Georgia
413;Libra & Sons;77 Blackhawk Rd;Georgia
414;Darcy Frame and Matting Servic;505 N. Frances St.;Kansas
415;Palmer Golf Supplies;241 Callan Rd.;Montana
416;Schnitzer Denist College;2632 Prarie Ln.;New Mexico
418;Highland Lanes;669 Kikaid;Utah
419;Deer Lake Inn;511 Hill;Pennsylvania
420;Flinn Mosquito and Pest Contro;2922 Twin Oaks Drive;Nebraska
421;Air Mexico;313 Grove Ave.;Idaho
422;AAA Daniels Antiques;1839 McCraren Rd.;Maine
423;Chands CPA;2678 Sheridan Rd.;Tennessee
424;BBQ Smith's Tex Mex;225 Jeffrys Place;Arizona
426;Acturial Enterprises Ltd.;1949 Cloverdale Rd.;Oklahoma
427;Toggle & Myerson Ltd;550 Sheridan;Wyoming
428;Crossroads Construction, Inc.;581 Hill St. Apt. 234;Washington
429;Futoons Cartoons Emporium;669 Kikaid;Kentucky
430;Flinn Mosquito and Pest Contro;785 Highland place;New Mexico
431;PGS Associates;1907 S. Prospect Ave.;West Virginia
432;Acturial Enterprises Ltd.;937 Judson Ave.;New York
433;Hilco Auto Body;512 Hill;Arizona
434;North West Gas Co.;3385 University Ave.;Florida
435;Derbin Contracting Services;726 White Oaks Ave.;Missouri
436;Camp Stuff;355 Golf Rd.;Connecticut
437;Doll House Rock;1715 Chicago Ave.;Georgia
438;Tub's Furniture Store;2267 Anderson Lane;New York
439;Lake Shore Publishing;654 Walnut Rd.;Nebraska
440;BBQ Smith's Tex Mex;3181 Barkwood Ct.;Iowa
441;Brand Y Creative Services;1185 County line Rd.;North Dakota
442;Gordon & Son Brockerage Ltd.;2600 Winsor Mall;Nevada
443;North Shore Appliance Service;2220 Grant Blvd.;Wyoming
444;Air France;1575 Oakwood Ave.;New York
445;Nina's Snow Plowing;1575 Oakwood Ave.;Pennsylvania
446;Arthur M. Feildberg Galleries;1155 Ridgewood Drive;Alaska
447;Hardee Woodwork Ltd.;3148 cottonwood Ct.;Michigan
448;Doll House Rock;969 Saxony Drive;Hawaii
449;Hoffman Printing Center;600 Central Ave.;Oregon
450;Pivot Point College;1704 Ridgelee Rd;Nevada
451;Truck-X Muffler Repair;1444 Chantilly Ln.;Iowa
452;Innman Paint and Glass;1019 Deerfield Rd.;Arizona
453;Maintence Services of Maine;22 Clay rd.;Utah
454;Nyman Interior Design;2112 Ravine Drive;Delaware
455;Jay's Cabinet Company;1799 Rosemary Way;Massachusetts
456;Air Mexico;2678 Sheridan Rd.;West Virginia
457;Ampro Office Team Ltd.;12 Craven Way;Minnesota
458;Truck-X Muffler Repair;433 Burton Ave.;Mississippi
459;MedicServe Medical Supply;1752 Clinton Ave.;Nevada
460;Transformation Enterprises;224  Highwood Ave.;Missouri
461;Pete's Auto Repair;1220 Heather Lane;Arizona
462;Crosstracks Car Wash;2678 Sheridan Rd.;Nebraska
463;Lake Shore Publishing;886 Yale Lane;Vermont
464;Schmidt Denists;4522 N. Greenview Apt. 1B;Ohio
465;Lennox Air Pollution Control;244 Briar Ln;Virginia
466;Salt & Pepper Catering Service;4467 Sheridan Rd.;Wyoming
467;Froggy's Gourmet Catering;512 Hill;South Carolina
468;Chicagoland Cleaners;1234 Devonshire Court;New Jersey
417;Cotton Thumb Ltd.;618 Sheriden rd.;Nebraska
469;Brand Y Creative Services;854 Woodbine;Nevada
470;Bill's Dive Shop;628 Orwenstensia;Nevada
471;Doerner's Awnings and Canopies;1839 McCraren Rd.;Oklahoma
472;Bernhardt Ltd.;1660 Park Ave.;South Carolina
473;Masterlands Cleaning;2220 Grant Blvd.;West Virginia
474;Doerner's Awnings and Canopies;175 beech St.;Rhode Island
475;Lickmen Restoration;3148 cottonwood Ct.;Vermont
476;Futoons Cartoons Emporium;1019 Deerfield Rd.;South Dakota
477;Glenwood Credit Union;210 Cresant Rd.;Kentucky
478;Cosmo Skin Care Center;628 Orwenstensia;Tennessee
479;Dapper's Antiques;1077 Court Ave.;Oklahoma
480;Portugal, Liddy, & Son Ltd.;135 Lakewood place;Arkansas
481;Doll House Rock;10 Marquette Rd.;Pennsylvania
482;Innman Paint and Glass;224  Highwood Ave.;Ohio
483;Garfield Appliance Service;1450 Harding Ave.;Delaware
484;Brand Y Creative Services;632 Roger Williams;Washington
485;Metro Appliance Service;1658 Second St.;California
486;AAA Daniels Antiques;886 Yale Lane;Alaska
487;Nel Video Productions;245 Oakridge Ave.;New York
488;Darcy Frame and Matting Servic;1535 Knollwood Drive;Kentucky
489;Highland Lanes;970 Vilas Circle;Alaska
490;janice Mann Accounting Service;12 Skokie Valley Rd.;North Dakota
491;Highland Woods City Hall;12 Walker Ave.;North Dakota
492;John G. Hartling Ltd.;2505 Allison ct.;Wyoming
493;Cotton Thumb Ltd.;1337 Cavell Ave.;Delaware
494;Salt & Pepper Catering Service;2024 St.Johns Ave.;Arkansas
495;Office Pro Supply Co.;1658 Second St.;Mississippi
496;Johnson, Erico & Co CPA's;45 South Deer Creek Drive;West Virginia
497;Got It All Electronics Supply;1658 Second St.;Nevada
498;Mail Boxes Et. Al.;807 Old Trail Rd.;Oklahoma
499;Shaggy's Grooming Services;600 Central Ave.;Hawaii
500;Lake Shore Beaches;746 Judson Place;Maine
501;Maintence Services of Maine;1450 Harding Ave.;Delaware
502;Tub's Furniture Store;854 Woodbine;South Carolina
503;Transformation Enterprises;1235 Easton Rd.;North Dakota
504;Innman Paint and Glass;852 Sumac Rd.;Georgia
505;Truck-X Muffler Repair;2505 Allison ct.;West Virginia
506;Yale Remins Temp Agency;614 green bay Rd.;Tennessee
507;Perimeter Security Consultants;750 Homewood Ave.;Arizona
508;North Shore Appliance Service;2045 St. johns Ave.;Maine
509;Air Mexico;12 Skokie Valley Rd.;Louisiana
510;Ampro Office Team Ltd.;616 Cobblestone Cir.;North Dakota
511;Morton Roofing and Siding;218 Oakridge Ave.;New York
512;Flinn Mosquito and Pest Contro;1882 St. Johns;Florida
513;Jay's Cabinet Company;2600 Winsor Mall;Maine
514;Morgan Construction Co;899 Harvard Ct;California
515;Parties Galore Golf Course;334 Lynn Terrace;California
516;Smith & Wesson Militia;1795 Lake Cook Rd.;Alaska
517;Lickmen Restoration;3059 Priscilla Court;Oregon
518;Facelift Kitchen and Bath;241 Callan Rd.;South Dakota
519;Lambert & Locke Legal Services;1337 Cavell Ave.;Massachusetts
520;Marcy Elaine Bakery;852 Sumac Rd.;Rhode Island
521;North Shore Appliance Service;430 Oakland Drive;Rhode Island
522;Energy Source Diet Centers;465 Stratford Rd.;New Hampshire
523;Crossroads Construction, Inc.;1715 Chicago Ave.;Maine
524;Smith Communications Inc.;1859 Green Bay Rd.;Indiana
525;Hi-Land Art & Frame;201-C Frontage Rd.;Montana
526;Keep Cool Air Conditioner Repa;456 Groverland Ave.;Wisconsin
527;Dependable Plumbing and Sewer;574 Chicago Ave.;Texas
528;Tub's Furniture Store;1679 McCraren;Arizona
529;Libra & Sons;629 Kincaid Ave.;Rhode Island
530;Cotton Thumb Ltd.;726 White Oaks Ave.;Indiana
531;Palmer Golf Supplies;425 Lake Ave.;Wisconsin
532;Gourmet the Frog;614 green bay Rd.;New Mexico
533;Flinn Mosquito and Pest Contro;2267 Anderson Lane;Ohio
534;Gilbert Co.;1715 Chicago Ave.;Alaska
535;Flinn Mosquito and Pest Contro;854 Woodbine;New Hampshire
536;Truck-X Muffler Repair;2510 Crain;North Dakota
537;Green Bay Travel Services;550 Sheridan;Ohio
538;Acme Chemical Supply;465 Stratford Rd.;Kansas
539;Car Suite Cleaners;937 Judson Ave.;Georgia
540;Ampro Office Team Ltd.;628 Orwenstensia;Idaho
541;Office Pro Supply Co.;54 Lakeview Terrace;Wyoming
542;Transformation Enterprises;857 Woodbine Rd;Hawaii
543;Toggle & Myerson Ltd;2936 Arlington Ave.;North Dakota
544;Nitelites Party Rental;1450 Harding Ave.;New York
545;Bill's Dive Shop;1954 First St.;South Dakota
