id;CustomerName;CustomerAddress;idState;id2;RegTime;RegisterTime;Sum1;Sum2,,
26;Kermit the Pet Shop;12 Skokie Valley Rd.;45;1;17/11/1970 03:20;1983-01-08 07:46:40.000;1426.;23810.7660,,
27;Hibbard Road Suppliers;1858 Balsam Way;28;34;24/11/1974 04:40;1987-09-05 09:01:36.000;26080;8442.0880,,
28;Peterson Roberts Carpentry;59 Cordon Terr.;12;44;04/09/2006 21:00;1998-06-15 09:40:00.000;96110;43358.8080,,
29;Acme Chemical Supply;1858 Balsam Way;6;22;29/03/2006 21:22;2002-06-08 02:33:20.000;52443;90392.0276,,
30;Truck-X Muffler Repair;807 Old Trail Rd.;25;27;07/02/1974 20:13;1983-01-19 12:28:16.000;78564;35453.5004,,
31;Arthur M. Feildberg Galleries;1220 Heather Lane;37;24;13/05/1992 04:22;1974-07-24 20:48:16.000;82248;70587.6544,,
32;Cotton Thumb Ltd.;1882 St. Johns;13;10;24/12/1996 20:40;1970-01-26 18:41:36.000;50345;17088.4070,,
33;Childress Child Day Care;1912 Old Briar Lane #2;22;33;21/03/2000 03:35;2006-08-12 21:01:36.000;2768.;97359.0055,,
34;Foy Aviation;511 Hill;20;49;11/07/2002 07:02;2005-12-21 12:14:56.000;46631;26404.9352,,
35;Nyman Interior Design;2505 Allison ct.;47;45;02/01/1970 11:22;2006-01-08 18:40:00.000;38474;90848.6540,,
36;Got It All Electronics Supply;629 Kincaid Ave.;22;28;29/04/1980 13:40;1993-10-22 15:26:40.000;29440;53380.6126,,
37;PGS Associates;726 White Oaks Ave.;26;12;17/10/2000 03:53;1974-04-13 15:46:40.000;94198;32720.7556,,
38;Yale Remins Temp Agency;1912 Old Briar Lane #2;49;6;27/08/1985 04:07;1999-12-19 10:40:00.000;81314;91092.3975,,
39;Mergenthaler Inc.;673 Calais Drive;45;25;20/10/1971 10:47;1983-08-07 00:20:00.000;30558;73456.6412,,
40;Elm Place Business Supplies;505 N. Frances St.;16;37;02/02/2006 15:48;2003-01-28 15:21:36.000;33428;86538.1125,,
41;Parties Galore Golf Course;77 Blackhawk Rd;26;13;06/02/1996 09:47;1989-05-11 04:20:00.000;4122.;28231.0160,,
42;Glenn Oaks Office Supplies;2600 Winsor Mall;38;22;29/02/1996 13:20;1986-03-12 16:01:36.000;94411;70933.0546,,
43;Metro Appliance Service;2936 Arlington Ave.;30;20;14/01/1974 20:28;2000-05-29 05:26:40.000;54665;69885.8828,,
44;Parkway Auto Body;726 White Oaks Ave.;14;47;11/05/1993 14:35;2000-06-15 21:13:20.000;94320;69425.8882,,
45;Quad City Cleaning;218 Oakridge Ave.;48;22;23/07/1977 18:35;1970-12-02 23:08:16.000;43450;8688.6032,,
46;Hi-Land Art & Frame;3478 Bryn Mawr St.;12;26;07/12/2006 04:55;1982-10-12 20:46:40.000;74696;76875.3584,,
47;Brand Y Creative Services;14836 W. River Oaks Dr.;35;49;23/10/1977 05:02;1994-10-17 14:20:00.000;97171;70842.4880,,
48;George Lee Antiques;632 Roger Williams;46;45;03/08/2007 19:55;1992-11-28 14:13:20.000;65765;70580.8838,,
49;Johnson, Erico & Co CPA's;5518 Madison St.;17;16;26/10/2002 03:40;1975-02-12 08:54:56.000;89561;99258.1102,
50;Trapezoid Studios;1831 Beverly Place #9D;15;26;21/08/1971 06:20;2000-09-18 19:28:16.000;54770;72460.9378,,
51;American Deli Workers Union;618 Sheriden rd.;4;38;04/09/1974 21:53;1977-02-22 22:53:20.000;11072;9563.7552,,
52;Schmidt Denists;844 Spruce St.;47;30;24/02/2003 18:27;2005-07-05 06:46:40.000;4500.;3520.5600,,
53;Crossroads Construction, Inc.;2267 Anderson Lane;5;14;04/06/1989 11:40;1977-10-24 17:53:20.000;46277;63818.8902,
54;Jay's Cabinet Company;2024 St.Johns Ave.;48;48;2006-02-29 06:42:00;2001-01-10 07:46:40.000;61386;12933.4726,,
55;Highland Heights Gift Shop;1799 Rosemary Way;28;12;01/07/2006 00:08;1972-12-25 02:53:20.000;91420;11980.6011,,
56;Glenn Oaks Office Supplies;1859 Green Bay Rd.;7;35;02/05/1999 00:07;1987-02-23 17:33:20.000;1225.;51734.4826,,
57;Lee Stairworks and Carpentry,;2644 Princeton Ln.;41;46;24/12/1977 16:02;1992-04-15 09:41:36.000;49648;9700.7312,
58;Lambert & Locke Legal Services;662 Lyons Circle;45;17;15/09/1986 21:27;2002-11-22 04:26:40.000;16920;31584.4395,,
59;Nitelites Party Rental;12 Walker Ave.;37;15;16/09/2004 21:42;2006-01-15 00:40:00.000;87570;87992.7496,,
60;Vanity Town;1701 W. Mellody Rd.;32;4;21/09/1982 04:35;1975-08-14 06:48:16.000;16120;60499.9252,,
61;DBN Bank;456 Grossman Ln.;35;47;02/10/2003 08:08;1992-04-28 23:26:40.000;64493;10448.7948,,
62;BBQ Smith's Tex Mex;1101 Deerfield Place;9;5;24/08/2000 03:00;1978-10-05 10:21:36.000;36616;7362.8436,,
63;Pivot Point College;1547 Knolwood Rd.;9;48;04/09/2000 22:08;1986-02-21 20:00:00.000;1190.;23856.0000,,
64;Highland Woods City Hall;430 Oakland Drive;9;28;12/10/2006 21:40;1978-04-23 06:13:20.000;10443;43494.6997,,
65;Mail Boxes Et. Al.;1859 Green Bay Rd.;30;7;17/02/2001 08:53;1990-10-16 07:53:20.000;16029;78020.4434,,
66;Smith & Wesson Militia;1750 Lily Court;27;41;04/11/1978 20:40;1975-12-04 12:14:56.000;66326;6676.0347,,
67;Acturial Enterprises Ltd.;1486 Oakwood;32;45;16/07/2006 17:28;2007-12-18 17:46:40.000;90900;41916.7440,,
68;Resnick DDS;726 White Oaks Ave.;6;37;25/04/1990 17:13;2006-08-12 13:26:40.000;75566;16911.3445,,
69;Air Mexico;313 Grove Ave.;6;32;05/11/2003 21:22;1983-06-05 12:20:00.000;63097;44552.0683,,
70;janice Mann Accounting Service;3181 Barkwood Ct.;28;35;09/02/1989 04:00;1983-04-20 15:20:00.000;38310;64944.0328,,
71;Pete's Auto Repair;1436 Waverly Rd.;32;9;03/04/2001 10:07;2004-12-03 18:53:20.000;56790;13196.3456,,
72;Michael Montgomery Hair Saloon;1077 Court Ave.;9;9;19/10/1972 08:22;2000-10-07 00:20:00.000;81313;98985.2492,,
73;Gordon & Son Brockerage Ltd.;313 Grove Ave.;49;9;27/05/1996 02:20;2000-12-29 19:34:56.000;75558;91936.6018,,
74;Bee Line Publishing;3344 Beachwood Ln.;46;30;18/02/2006 12:55;2001-09-01 03:53:20.000;33150;51721.2638,,
75;Green Bay Travel Services;1795 Lake Cook Rd.;28;27;16/12/2006 22:42;2001-10-15 11:01:36.000;39632;99143.6368,,
76;Caranisco Homes;310 Walker Ave.;39;32;04/02/1994 22:13;1987-06-15 13:53:20.000;37045;68925.7296,,
77;Doll House Rock;844 Spruce St.;49;6;10/11/1978 06:28;2000-10-28 15:13:20.000;8592.;72500.9600,,
78;Moveit Motercycle Service;965 Marion Place Apt. 65C;13;6;21/08/1978 16:07;1978-08-03 22:21:36.000;10620;51680.9919,,
79;Funnyface Amusement Games;511 Hill;12;28;27/03/2005 00:13;1982-12-17 19:06:40.000;8903.;24036.3954,,
80;Glenwood Credit Union;2870 Skokie Rd.;21;32;08/03/1980 10:40;1972-11-04 12:14:56.000;14095;28588.6032,,
81;Glassman & Stone;654 Walnut Rd.;19;9;03/02/2007 10:53;1990-02-11 18:13:20.000;21600;43866.2185,,
82;Yale Remins Temp Agency;628 Orwenstensia;24;49;10/11/1972 16:13;1977-10-05 20:21:36.000;74600;12040.7126,,
83;Dean Barnett Furniture Repair;2922 Twin Oaks Drive;18;46;25/03/2001 19:33;2006-03-23 10:14:56.000;95750;28880.0560,,
84;Eva Galler Galleries Inc.;1101 Deerfield Place;8;28;11/03/2000 11:33;2003-03-12 11:08:16.000;33873;28716.9212,,
85;Shaggy's Grooming Services;1270 Linden Ave.;6;39;12/01/1977 06:53;1987-01-29 14:01:36.000;52760;50992.5684,,
86;Bako Delicatessen;628 Orwenstensia;19;49;27/03/1971 05:33;1994-10-27 13:13:20.000;90980;2568.5854,,
87;Cradle the Call;1155 Ridgewood Drive;28;13;23/09/2005 10:22;2006-11-23 20:14:56.000;8250.;24448.5160,,
88;Truck-X Muffler Repair;45 South Deer Creek Drive;19;12;19/02/1999 04:53;1986-03-08 10:00:00.000;44304;47679.0904,,
89;Deer Lake Inn;1 Twin Oaks Place;22;21;11/10/1978 14:20;2006-06-26 19:13:20.000;51284;54796.6944,,
90;Crosstracks Car Wash;505 N. Frances St.;33;19;05/02/2005 22:27;1994-10-08 08:06:40.000;6878.;13900.9230,,
91;Masterlands Cleaning;313 Grove Ave.;34;24;18/03/1987 21:07;1994-08-11 18:48:16.000;14680;50366.5850,,
92;Shaggy's Grooming Services;3160 Summit Ave.;7;18;17/11/2000 06:27;2004-06-26 02:06:40.000;67920;58720.5376,,
93;North West Gas Co.;445 Park Ave.;30;8;12/04/1994 06:08;1998-09-17 03:40:00.000;24287;55640.9436,,
94;Car Suite Cleaners;120 high St.;6;6;02/06/1974 00:07;1996-05-14 19:53:20.000;63010;3559.9738,,
95;Cutter Lawn Mower Repair;929 Brittany Ave.;2;19;26/06/2000 21:27;2004-09-12 06:34:56.000;12956;26816.6184,,
96;Doerner's Awnings and Canopies;616 Cobblestone Cir.;26;28;04/12/2001 13:33;1993-05-03 04:33:20.000;90760;19776.1655,,
97;Yale Remins Temp Agency;245 Oakridge Ave.;19;19;22/06/2005 04:08;1987-11-18 09:48:16.000;80543;92848.9882,,
98;Nyman Interior Design;1486 Oakwood;39;22;05/07/2000 08:33;1975-01-13 15:46:40.000;86886;19550.2368,,
99;Shaggy's Grooming Services;1077 Court Ave.;29;33;19/06/1970 08:08;2001-01-23 18:00:00.000;9468.;8296.3344,,
100;Johnson, Erico & Co CPA's;2632 Prarie Ln.;44;34;26/07/2006 11:15;1996-03-11 16:00:00.000;89968;17116.1734,
101;Bill's Dive Shop;872 Virginia Rd.;7;7;23/06/1980 10:20;2001-05-20 07:28:16.000;62330;39227.7540,,
102;Bill's Dive Shop;245 Oakridge Ave.;34;30;28/07/1989 12:08;2002-02-01 23:34:56.000;42925;72792.6976,,
103;Air Mexico;12 Skokie Valley Rd.;31;6;06/03/1992 05:33;1987-05-31 23:53:20.000;62522;72148.9742,,
104;Metro Appliance Service;2220 Grant Blvd.;39;2;30/10/1977 22:53;1994-04-02 15:20:00.000;25998;24696.3833,,
105;Caranisco Homes;750 Homewood Ave.;16;26;20/08/2000 04:33;2000-03-22 07:21:36.000;88628;30739.0813,,
106;Caranisco Homes;1860 Parkside Ln.;40;19;14/02/2001 02:02;1989-09-22 21:40:00.000;82676;46776.9915,,
107;Camp Oconomowoc;4763 Blackhawk Rd.;25;39;19/09/2005 23:02;1985-04-10 05:46:40.000;45600;73440.9275,,
108;Air India;135 Lakewood place;9;29;07/06/2000 16:20;2000-12-22 10:53:20.000;3045.;13650.7006,,
109;Lickmen Restoration;1912 Old Briar Lane #2;23;44;22/11/2000 06:27;2003-09-27 13:54:56.000;14608;27300.3582,,
110;K L Consulting;445 Park Ave.;43;7;27/01/1994 19:47;2001-06-26 21:53:20.000;77500;42420.2392,,
111;DBN Bank;242 Ashland Ave.;20;34;20/12/2000 08:42;2000-01-22 12:00:00.000;13990;24968.5648,,
112;Hart Corporation;1777 balsamic Ave.;41;31;22/11/1998 02:00;1994-10-30 23:33:20.000;58058;1610.5680,,
113;Hoffman Printing Center;430 Oakland Drive;44;39;12/02/2005 09:20;2004-02-09 22:54:56.000;6296.;62114.6930,,
114;Pasifico Inc.;1233 Arbor Rd.;45;16;09/04/1972 00:28;2000-09-01 13:01:36.000;5631.;73285.6654,,
115;Auto Interior Carpeting Compan;844 Spruce St.;48;40;13/04/2001 09:00;2006-04-25 13:14:56.000;49944;34638.4350,,
116;Trapezoid Studios;54 Lakeview Terrace;6;25;11/01/1972 06:40;1975-10-25 10:06:40.000;52216;48645.6910,,
117;Pac Builders;1270 Linden Ave.;11;9;30/04/1974 14:20;1975-08-20 10:46:40.000;99607;90376.3818,,
118;Dapper's Antiques;2024 St.Johns Ave.;19;23;16/02/2007 04:27;2006-02-07 04:13:20.000;14295;34862.7030,,
119;Tub's Furniture Store;1547 Vine;31;43;17/01/1990 18:13;2000-07-30 06:20:00.000;18240;25882.4093,,
120;Kermit the Pet Shop;1235 Easton Rd.;3;20;13/11/1992 04:02;1997-01-15 03:46:40.000;95802;18212.1840,,
121;First National Bank of Ottowa;465 Stratford Rd.;5;41;07/07/1972 13:27;2003-09-23 01:54:56.000;67344;140.8432,,
122;Terrinni & Son Auto and Truck;1859 Green Bay Rd.;12;44;11/12/1970 10:40;1986-12-26 05:46:40.000;12928;28625.1218,,
123;Esmarda Chemical Manufacturers;10 Marquette Rd.;4;45;23/11/2005 01:35;2002-09-09 11:28:16.000;88025;48491.3736,,
124;First National Bank of Ottowa;2632 Prarie Ln.;44;48;31/12/1970 02:53;2002-06-26 16:48:16.000;24196;14840.3157,,
125;Facelift Kitchen and Bath;3100 Trailer Way;47;6;15/01/1993 12:13;1992-02-14 09:33:20.000;15220;91232.5356,,
126;Nina's Snow Plowing;302-A Crestwood Village Rd.;35;11;13/08/2004 13:27;2005-05-25 01:53:20.000;71856;73505.9520,,
127;Flinn Mosquito and Pest Contro;1859 Green Bay Rd.;43;19;18/06/1994 09:15;2005-02-19 08:00:00.000;87452;65216.8000,,
128;Resnick DDS;302-A Crestwood Village Rd.;25;31;25/09/1974 17:53;1982-05-03 19:53:20.000;23098;13011.1353,,
129;Air Mexico;1535 Knollwood Drive;14;3;23/09/1974 10:20;1983-08-10 11:40:00.000;85200;78053.9692,,
130;Gordon & Son Brockerage Ltd.;899 Harvard Ct;31;5;24/10/2006 15:27;2002-10-09 22:46:40.000;70403;46721.0000,,
131;Griffith Paving and Sealcoatin;2922 Twin Oaks Drive;22;12;22/11/1971 23:20;1970-11-07 21:06:40.000;38164;54746.0524,,
132;AAA Daniels Antiques;600 Central Ave;15;4;30/12/1983 19:20;2000-02-19 08:13:20.000;9868.;87040.7075,,
133;Smith Communications Inc.;750 Homewood Ave.;31;44;04/06/1989 11:40;2003-10-10 19:40:00.000;53001;60328.1145,,
134;Myers Chocolates and Confectio;2644 Princeton Ln.;21;47;20/08/1983 05:00;2006-10-15 12:48:16.000;95735;30155.8229,,
135;Masterlands Cleaning;2224 Sherman Rd.;26;35;10/11/2004 09:35;2006-03-12 05:33:20.000;41009;92184.8600,,
136;Futoons Cartoons Emporium;465 Stratford Rd.;25;43;08/03/1971 06:00;1982-03-09 05:33:20.000;14133;22700.9968,,
137;Block Boats and Lures;1858 Balsam Way;47;25;06/11/2007 16:42;1993-06-16 04:06:40.000;6582.;27622.6080,,
138;Vanity Town;302-A Crestwood Village Rd.;7;14;20/02/1975 20:27;1983-03-24 04:14:56.000;46712;25546.0548,,
139;Morton Roofing and Siding;1658 Second St.;33;31;12/12/1974 17:07;1985-09-03 02:46:40.000;27386;40890.5276,,
140;Caranisco Homes;3344 Beachwood Ln.;15;22;11/09/1993 07:02;1987-08-20 13:13:20.000;11552;61800.5160,,
141;DBN Bank;2600 Winsor Mall;20;15;27/11/1993 11:33;1993-08-16 01:13:20.000;70626;93936.8580,,
142;Hart Corporation;1658 Second St.;10;31;10/10/2003 16:33;1989-05-30 03:53:20.000;82624;66993.3696,,
143;Nel Video Productions;1715 Chicago Ave.;20;21;16/01/1970 17:47;1977-09-14 16:46:40.000;31760;42975.8249,,
144;Maintence Services of Maine;1658 Second St.;35;26;16/12/1989 16:02;1992-05-14 17:13:20.000;2253.;67904.2224,,
145;Woodworks Co.;445 Park Ave.;11;25;05/07/2001 07:55;1983-09-01 22:33:20.000;2818.;11610.3016,,
146;Glenn Oaks Office Supplies;746 Judson Place;6;47;23/11/1989 12:28;2000-08-20 07:00:00.000;16480;746.0806,,
147;Funnyface Amusement Games;2220 Grant Blvd.;7;7;04/07/1986 23:27;2004-08-25 06:33:20.000;36104;84428.2112,,
148;Highland Lanes;224  Highwood Ave.;35;33;11/09/2001 07:13;2002-02-15 20:54:56.000;95664;67889.7128,,
149;Marcy Elaine Bakery;1750 Lily Court;45;15;03/11/1982 19:33;2001-06-08 23:41:36.000;11496;88953.1544,,
150;janice Mann Accounting Service;3181 Barkwood Ct.;11;20;25/08/1999 17:53;1970-02-03 02:26:40.000;42674;59793.3440,,
151;Lickmen Restoration;1875 Roger Williams Ave.;9;10;17/01/1980 23:33;1996-10-12 07:00:00.000;63304;14949.6536,,
152;Moveit Motercycle Service;969 Saxony Drive;41;20;16/12/2006 20:13;1985-10-11 07:26:40.000;52835;23305.0100,,
153;Cradle the Call;785 Highland place;1;35;19/05/2005 23:40;1993-04-11 12:21:36.000;97244;64408.5250,,
154;Kapp Camera and Video;1619 Judson Ave. Apt #34B;37;11;18/10/1989 16:22;1983-08-28 15:01:36.000;29748;75167.2808,,
155;Marcy Elaine Bakery;430 Oakland Drive;26;6;23/08/2002 13:42;1975-01-27 04:01:36.000;66458;29281.6816,,
156;Ernie's Foriegn Car Service;5518 Madison St.;46;7;30/12/1986 04:13;1978-08-31 17:01:36.000;42200;96923.7456,,
157;Myles Building Consultants;367Bluebird Terr.;41;35;12/01/2006 06:00;2006-08-15 19:41:36.000;73508;91960.5823,,
158;Cotton Thumb Ltd.;433 Burton Ave.;18;45;02/09/1977 15:53;1986-07-14 22:20:00.000;54348;68825.3132,,
159;Lickmen Restoration;1101 Deerfield Place;44;11;30/04/2004 09:00;1974-02-13 04:00:00.000;35296;28400.9652,,
160;Marks, Marks, and Kaplan Ltd.;1019 Deerfield Rd.;28;9;28/03/2006 11:33;1998-01-24 00:00:00.000;58158;88159.9412
161;Morton Roofing and Siding;313 Grove Ave.;26;41;02/11/1992 18:02;1989-01-03 10:41:36.000;55520;14379.5080,,
162;P K M Packaging Supply;1077 Court Ave.;12;1;05/01/2000 04:53;1977-12-05 08:53:20.000;82360;30820.1048,,
163;Trapezoid Studios;14836 W. River Oaks Dr.;35;37;24/09/1975 15:13;1980-05-07 16:06:40.000;36376;93888.8917,,
164;Salt & Pepper Catering Service;770 Exmoor Rd.;3;26;16/03/2000 12:28;2000-08-13 03:40:00.000;72598;29061.0965,,
165;Darcy Frame and Matting Servic;42 Valley Rd.;37;46;15/08/2006 13:40;2000-05-26 21:53:20.000;63840;72035.4738,,
166;Jay's Cabinet Company;1 Twin Oaks Place;49;41;15/05/1993 01:55;2002-04-17 00:33:20.000;81480;12930.7150,,
167;Marks, Marks, and Kaplan Ltd.;770 Exmoor Rd.;31;18;03/07/1996 14:20;1997-05-20 04:46:40.000;64385;26425.0550
168;Camp Oconomowoc;1245 Eastwood;9;44;09/08/1980 01:02;1993-05-26 08:06:40.000;57009;95225.9200,,
169;Innman Paint and Glass;673 Calais Drive;5;28;25/10/1996 00:33;2003-10-19 22:46:40.000;39410;59504.8794,,
170;Kermit the Pet Shop;1482 Concorde Circle;16;26;28/10/2000 01:00;2000-03-11 11:33:20.000;61704;75734.8710,,
171;Pasifico Inc.;1235 Easton Rd.;7;12;01/02/1972 02:40;2001-06-08 12:33:20.000;22248;21182.6096,,
172;Block Boats and Lures;618 Sheriden rd.;1;35;16/05/2001 12:33;2000-09-29 02:33:20.000;22504;15952.7112,,
173;Myles Building Consultants;1077 Court Ave.;11;3;06/01/2001 16:53;1970-10-09 23:40:00.000;35436;70414.5286,,
174;Childress Child Day Care;1882 St. Johns;1;37;05/11/1975 22:53;1985-10-07 20:06:40.000;76014;84328.3125,,
175;Parties Galore Golf Course;857 Woodbine Rd;33;49;09/07/1977 02:33;1999-08-03 18:06:40.000;36512;3210.3180,,
176;Facelift Kitchen and Bath;3150 Skokie Valley Rd.;7;31;25/01/2004 06:27;1970-07-24 10:33:20.000;38200;82094.9508,,
177;Esmarda Chemical Manufacturers;1907 S. Prospect Ave.;27;9;10/04/2006 23:42;2001-08-27 01:40:00.000;86880;41009.4504,,
178;Pivot Point College;2148 Eastview Dr.;31;5;13/01/1971 07:33;2004-07-10 18:08:16.000;44564;72896.6740,,
179;Smith & Wesson Militia;1839 McCraren Rd.;31;16;04/10/2000 07:53;1977-07-12 13:53:20.000;1452.;37980.0392,,
180;Kapp Camera and Video;2220 Grant Blvd.;15;7;24/10/1994 20:35;1990-05-09 05:28:16.000;19136;93892.0933,,
181;Ampro Office Team Ltd.;844 Spruce St.;29;1;20/09/1990 11:42;1972-02-11 23:46:40.000;97120;18963.7210,,
182;Hart Corporation;1701 W. Mellody Rd.;6;11;29/04/2000 10:48;1970-11-08 08:13:20.000;58406;56244.8886,,
183;AAA Daniels Antiques;511 Hill;13;1;01/03/1977 10:27;2004-03-25 22:00:00.000;36506;94185.5039,,
184;Palmer Golf Supplies;1860 Parkside Ln.;32;33;06/11/2004 22:15;1971-06-05 00:48:16.000;87604;43880.0118,,
185;Mail Boxes Et. Al.;22 Clay rd.;48;7;18/02/2002 04:28;1986-04-28 00:08:16.000;42816;77500.9892,,
186;Highland Woods City Hall;2632 Prarie Ln.;29;27;15/12/2001 07:07;1996-03-08 04:40:00.000;12577;56096.9800,,
187;Meonits & Mogogni Inc.;844 Spruce St.;50;31;07/08/1994 23:53;1983-02-11 16:01:36.000;78096;23330.8970,,
188;Doerner's Awnings and Canopies;618 Sheriden rd.;16;31;20/03/2006 15:08;1993-03-10 10:40:00.000;38583;21529.2232,,
189;Keyth Contracting and Repair;266 Green Bay Rd.;12;15;10/09/2000 09:27;1978-09-21 22:06:40.000;62900;24842.2402,,
190;Highland Heights Gift Shop;465 Stratford Rd.;42;29;21/05/2001 03:40;1999-06-09 04:46:40.000;54420;88768.7726,,
191;Auto Interior Carpeting Compan;22 Clay rd.;15;6;03/02/2005 21:48;2004-10-25 14:46:40.000;11110;51360.9800,,
192;Portugal, Liddy, & Son Ltd.;629 Kincaid Ave.;12;13;16/12/2001 10:53;1975-08-11 15:40:00.000;35808;97008.1688
193;Hilco Auto Body;54 Lakeview Terrace;15;32;04/12/2005 07:47;1990-12-29 08:40:00.000;19680;85163.2000,,
194;Morton Roofing and Siding;1912 Old Briar Lane #2;7;48;25/06/1974 22:22;1977-05-28 21:40:00.000;11972;136.0523,,
195;Schnitzer Denist College;628 Orwenstensia;30;29;24/09/1974 14:07;2004-05-16 13:53:20.000;61690;39150.7175,,
196;Morgan Construction Co;4259 W. Lake Ave.;23;50;09/04/1992 14:48;1999-06-13 19:53:20.000;87739;49355.9160,,
197;Air Barbados;42 Valley Rd.;37;16;11/04/1977 09:47;1971-06-06 13:40:00.000;39884;88031.0840,,
198;Bee Line Publishing;671 Blackstone Ave.;7;12;22/01/2002 13:35;2000-10-31 00:13:20.000;22784;89725.4770,,
199;Transformation Enterprises;669 Kikaid;8;42;14/06/1982 11:53;1972-09-10 09:00:00.000;43353;12351.2164,,
200;Cradle the Call;550 Sheridan;30;15;26/10/1986 08:40;2004-10-27 19:00:00.000;89430;40968.0872,,
201;Nel Video Productions;1270 Linden Ave.;7;12;14/10/1985 18:47;1994-02-25 18:13:20.000;74575;84434.0036,,
202;Darcy Frame and Matting Servic;220 Vine Ave.;5;15;30/04/1993 21:00;2002-01-05 04:54:56.000;91758;2522.0058,,
203;Green Bay Travel Services;1444 Chantilly Ln.;38;7;07/07/1977 22:47;2001-07-01 08:33:20.000;86625;79320.2956,,
204;Nyman Interior Design;456 Groverland Ave.;48;30;09/09/1978 04:33;1986-04-15 14:40:00.000;54440;73204.2780,,
205;Air France;42 Valley Rd.;9;23;08/03/2005 07:35;1970-06-15 13:13:20.000;82380;3511.7144,,
206;Dependable Plumbing and Sewer;4763 Blackhawk Rd.;24;37;03/11/2007 05:22;1983-11-04 20:54:56.000;19756;54886.1830,,
207;Green Shoes Corp.;310 Walker Ave.;36;7;10/01/1994 00:00;1975-11-17 23:46:40.000;9281.;30359.1770,,
208;janice Mann Accounting Service;368 Woodland Rd.;38;8;19/09/1993 09:28;2002-02-28 12:40:00.000;64440;48635.0300,,
209;Mac Computer Warehouse;618 Sheriden rd.;12;30;06/04/2006 17:40;2006-01-27 07:06:40.000;10750;13688.0268,,
210;Marks, Marks, and Kaplan Ltd.;77 Blackhawk Rd;43;7;23/10/2000 12:48;1987-03-17 17:20:00.000;41001;13868.1805
